id;N¼ CONTROLO;nome;categoria;municipio;COMUNA;Telefone;N¼ DE B.I;IBAN;Valor Trans;numDias;total_receber
1;BE_2025_SET_1148;A1;ACTIVISTA;CHITEMBO;SEDE;;007681247BE040;AO06 0006 0000 6633 6437 3018 8;1;5;19 000,00
2;BE_2025_SET_1149;B1;OBREIRO;CHITEMBO;SEDE;;007681247BE041;AO06 0006 0000 6633 6437 3018 9;1;5;19 000,00
3;BE_2025_SET_1150;A2;ACTIVISTA;CHITEMBO;SEDE;;007681247BE042;AO06 0006 0000 6633 6437 3018 10;1;5;19 000,00
4;BE_2025_SET_1149;B2;ACTIVISTA;CHITEMBO;SEDE;;008327321BE046;AO06 0010 0309 0255 1530 0410 7;1;5;19 000,00
5;BE_2025_SET_1148;A3;ACTIVISTA;CHITEMBO;SEDE;;007681247BE040;AO06 0006 0000 6633 6437 3018 8;1;5;19 000,00
6;BE_2025_SET_1149;B3;OBREIRO;CHITEMBO;SEDE;;007681247BE041;AO06 0006 0000 6633 6437 3018 9;1;5;19 000,00
7;BE_2025_SET_1150;A4;ACTIVISTA;CHITEMBO;SEDE;;007681247BE042;AO06 0006 0000 6633 6437 3018 10;1;5;19 000,00
8;BE_2025_SET_1149;B4;ACTIVISTA;CHITEMBO;SEDE;;008327321BE046;AO06 0010 0309 0255 1530 0410 7;1;5;19 000,00
9;BE_2025_SET_1148;A5;ACTIVISTA;CHITEMBO;SEDE;;007681247BE040;AO06 0006 0000 6633 6437 3018 8;1;5;19 000,00
10;BE_2025_SET_1149;B5;OBREIRO;CHITEMBO;SEDE;;007681247BE041;AO06 0006 0000 6633 6437 3018 9;1;5;19 000,00
11;BE_2025_SET_1150;A6;ACTIVISTA;CHITEMBO;SEDE;;007681247BE042;AO06 0006 0000 6633 6437 3018 10;1;5;19 000,00
12;BE_2025_SET_1149;B6;ACTIVISTA;CHITEMBO;SEDE;;008327321BE046;AO06 0010 0309 0255 1530 0410 7;1;5;19 000,00
13;BE_2025_SET_1148;A7;ACTIVISTA;CHITEMBO;SEDE;;007681247BE040;AO06 0006 0000 6633 6437 3018 8;1;5;19 000,00
14;BE_2025_SET_1149;B7;OBREIRO;CHITEMBO;SEDE;;007681247BE041;AO06 0006 0000 6633 6437 3018 9;3 800,00;5;19 000,00
15;BE_2025_SET_1150;A8;ACTIVISTA;CHITEMBO;SEDE;;007681247BE042;AO06 0006 0000 6633 6437 3018 10;3 800,00;5;19 000,00
16;BE_2025_SET_1149;B8;ACTIVISTA;CHITEMBO;SEDE;;008327321BE046;AO06 0010 0309 0255 1530 0410 7;3 800,00;5;19 000,00
