id;num_controle_dias;nome;num_bi;telefone;categoria;municipio;comuna;iban;data_inicio;data_fim;numDias;valor_trans;total_receber
1;;Janeiro  Tiago;007681247BE040;;ACTIVISTA;CHITEMBO;SEDE;AO06 0006 0000 6633 6437 3018 8;30/09/25;16/10/25;17; 5 000,00 Kz ; 85 000,00 Kz 
2;;Fevereiro Francisco;007681247BE041;;ACTIVISTA;CHITEMBO;SEDE;AO06 0006 0000 6633 6437 3018 9;30/09/25;17/10/25;18; 5 000,00 Kz ; 90 000,00 Kz 
3;;Março Filipe;007681247BE042;;ACTIVISTA;CHITEMBO;SEDE;AO06 0006 0000 6633 6437 3018 10;06/10/25;20/11/25;46; 20 000,00 Kz ; 920 000,00 Kz 
4;;Abril Gaspar;007681247BE043;;ACTIVISTA;CHITEMBO;SEDE;AO06 0006 0000 6633 6437 3018 11;06/10/25;20/11/25;46; 5 000,00 Kz ; 230 000,00 Kz 
5;;Maio Manuel;007681247BE044;;presidente;CHITEMBO;SEDE;AO06 0006 0000 6633 6437 3018 12;06/10/25;20/11/25;46; 5 000,00 Kz ; 230 000,00 Kz 
6;;Junho Ceesar;007681247BE045;;ACTIVISTA;CHITEMBO;SEDE;AO06 0006 0000 6633 6437 3018 13;06/10/25;20/11/25;46; 5 000,00 Kz ; 5 000,00 Kz 
7;;Julho Celo;007681247BE046;;interv;CHITEMBO;SEDE;AO06 0006 0000 6633 6437 3018 14;06/10/25;20/11/25;46; 5 000,00 Kz ; 5 000,00 Kz 
8;;Agosto Bode;007681247BE047;;ACTIVISTA;CHITEMBO;SEDE;AO06 0006 0000 6633 6437 3018 15;06/10/25;20/11/25;46; 5 000,00 Kz ; 5 000,00 Kz 
9;;Setembro Colola;007681247BE048;;ACTIVISTA;CHITEMBO;SEDE;AO06 0006 0000 6633 6437 3018 16;06/10/25;20/11/25;46; 5 000,00 Kz ; 5 000,00 Kz 
10;;Outubro Samba;007681247BE049;;ACTIVISTA;CHITEMBO;SEDE;AO06 0006 0000 6633 6437 3018 17;06/10/25;20/11/25;46; 5 000,00 Kz ; 5 000,00 Kz 
11;;Novembro Nduvi;007681247BE050;;ACTIVISTA;CHITEMBO;SEDE;AO06 0006 0000 6633 6437 3018 18;06/10/25;20/11/25;46; 5 000,00 Kz ; 5 000,00 Kz 
