id;N¼ CONTROLO;nome;categoria;municipio;COMUNA;Telefone;N¼ DE B.I;IBAN;Valor Trans;numDias;total_receber
1;BE_2025_SET_1148;A1;MEDI;STR1;SEDE;;007681247BE040;AO06 0006 0000 6633 6437 3018 8;1;5;19 000,00
2;BE_2025_SET_1149;B1;BEM;STR2;SEDE;;007681247BE041;AO06 0006 0000 6633 6437 3018 9;1;5;19 000,00
3;BE_2025_SET_1150;A2;MEDI;STR3;SEDE;;007681247BE042;AO06 0006 0000 6633 6437 3018 10;1;5;19 000,00
4;BE_2025_SET_1149;B2;BEM;STR4;SEDE;;008327321BE046;AO06 0010 0309 0255 1530 0410 7;1;5;19 000,00
5;BE_2025_SET_1148;A3;MEDI;STR5;SEDE;;007681247BE040;AO06 0006 0000 6633 6437 3018 8;1;5;19 000,00
6;BE_2025_SET_1149;B3;BEM;STR6;SEDE;;007681247BE041;AO06 0006 0000 6633 6437 3018 9;1;5;19 000,00
7;BE_2025_SET_1150;A4;MEDI;STR7;SEDE;;007681247BE042;AO06 0006 0000 6633 6437 3018 10;1;5;19 000,00
8;BE_2025_SET_1149;B4;BEM;STR8;SEDE;;008327321BE046;AO06 0010 0309 0255 1530 0410 7;1;5;19 000,00
9;BE_2025_SET_1148;A5;MEDI;STR9;SEDE;;007681247BE040;AO06 0006 0000 6633 6437 3018 8;1;5;19 000,00
10;BE_2025_SET_1149;B5;BEM;STR10;SEDE;;007681247BE041;AO06 0006 0000 6633 6437 3018 9;1;5;19 000,00
11;BE_2025_SET_1150;A6;MEDI;STR11;SEDE;;007681247BE042;AO06 0006 0000 6633 6437 3018 10;1;5;19 000,00
12;BE_2025_SET_1149;B6;BEM;STR12;SEDE;;008327321BE046;AO06 0010 0309 0255 1530 0410 7;1;5;19 000,00
13;BE_2025_SET_1148;A7;MEDI;STR13;SEDE;;007681247BE040;AO06 0006 0000 6633 6437 3018 8;1;5;19 000,00
14;BE_2025_SET_1149;B7;BEM;STR14;SEDE;;007681247BE041;AO06 0006 0000 6633 6437 3018 9;3 800,00;5;19 000,00
15;BE_2025_SET_1150;A8;MEDI;STR15;SEDE;;007681247BE042;AO06 0006 0000 6633 6437 3018 10;3 800,00;5;19 000,00
16;BE_2025_SET_1149;B8;BEM;STR16;SEDE;;008327321BE046;AO06 0010 0309 0255 1530 0410 7;3 800,00;5;19 000,00
