id;nome;N do BI;Telefone;categoria;municipio;Comuna;IBAN;Data de inicio ;Data de fim;numDias;valor_trans;total_receber;transporte;lanche;saldo_voz
1;abrzio;007681247BE040;;ACTIVISTA;CHITEMBO;SEDE;AO06 0006 0000 6633 6437 3018 8;30/09/25;16/10/25;17; 5 000,00 Kz ; 85 000,00 Kz ;NAO PAGO;NAO PAGO;PAGO
2;Jose;007681247BE041;;ACTIVISTA;CHITEMBO;SEDE;AO06 0006 0000 6633 6437 3018 9;30/09/25;17/10/25;18; 5 000,00 Kz ; 90 000,00 Kz ;NAO PAGO;NAO PAGO;PAGO
3;ferreira;007681247BE042;;ACTIVISTA;CHITEMBO;SEDE;AO06 0006 0000 6633 6437 3018 10;06/10/25;20/11/25;46; 20 000,00 Kz ; 920 000,00 Kz ;NAO PAGO;NAO PAGO;PAGO
4;nat;007681247BE043;;ACTIVISTA;CHITEMBO;SEDE;AO06 0006 0000 6633 6437 3018 11;06/10/25;20/11/25;46; 5 000,00 Kz ; 230 000,00 Kz ;NAO PAGO;NAO PAGO;PAGO
5;loo;007681247BE044;;presidente;CHITEMBO;SEDE;AO06 0006 0000 6633 6437 3018 12;06/10/25;20/11/25;46; 5 000,00 Kz ; 230 000,00 Kz ;NAO PAGO;NAO PAGO;PAGO
6;nat;007681247BE045;;ACTIVISTA;CHITEMBO;SEDE;AO06 0006 0000 6633 6437 3018 13;06/10/25;20/11/25;46; 5 000,00 Kz ; 5 000,00 Kz ;NAO PAGO;NAO PAGO;PAGO
7;loo;007681247BE046;;interv;CHITEMBO;SEDE;AO06 0006 0000 6633 6437 3018 14;06/10/25;20/11/25;46; 5 000,00 Kz ; 5 000,00 Kz ;NAO PAGO;NAO PAGO;PAGO
8;nat;007681247BE047;;ACTIVISTA;CHITEMBO;SEDE;AO06 0006 0000 6633 6437 3018 15;06/10/25;20/11/25;46; 5 000,00 Kz ; 5 000,00 Kz ;NAO PAGO;NAO PAGO;PAGO
9;loo;007681247BE048;;ACTIVISTA;CHITEMBO;SEDE;AO06 0006 0000 6633 6437 3018 16;06/10/25;20/11/25;46; 5 000,00 Kz ; 5 000,00 Kz ;NAO PAGO;NAO PAGO;PAGO
10;nat;007681247BE049;;ACTIVISTA;CHITEMBO;SEDE;AO06 0006 0000 6633 6437 3018 17;06/10/25;20/11/25;46; 5 000,00 Kz ; 5 000,00 Kz ;NAO PAGO;NAO PAGO;PAGO
11;loo;007681247BE050;;ACTIVISTA;CHITEMBO;SEDE;AO06 0006 0000 6633 6437 3018 18;06/10/25;20/11/25;46; 5 000,00 Kz ; 5 000,00 Kz ;NAO PAGO;NAO PAGO;PAGO
