id;num_de_control_Formacoes;nome;categoria;municipio;comuna;telefone_formacoes;num_bi_formacoes;iban_formacoes;valor_trans;numDias;total_receber
1;BE_2025_SET_1148;TITO;MEDI;STR1;SEDE;;007681247BE040;AO06 0006 0000 6633 6437 3018 8;1;5;19 000,00
2;BE_2025_SET_1149;aDRIABI;BEM;STR2;SEDE;;007681247BE041;AO06 0006 0000 6633 6437 3018 9;1;5;19 000,00
3;BE_2025_SET_1150;nDONGALA;MEDI;STR3;SEDE;;007681247BE042;AO06 0006 0000 6633 6437 3018 10;1;5;19 000,00
4;BE_2025_SET_1149;Marillson;BEM;STR4;SEDE;;008327321BE046;AO06 0010 0309 0255 1530 0410 7;1;5;19 000,00
5;BE_2025_SET_1148;Rodrigues;MEDI;STR5;SEDE;;007681247BE040;AO06 0006 0000 6633 6437 3018 8;1;5;19 000,00
6;BE_2025_SET_1149;Fernando;BEM;STR6;SEDE;;007681247BE041;AO06 0006 0000 6633 6437 3018 9;1;5;19 000,00
7;BE_2025_SET_1150;Paulino;MEDI;STR7;SEDE;;007681247BE042;AO06 0006 0000 6633 6437 3018 10;1;5;19 000,00
8;BE_2025_SET_1149;Jose;BEM;STR8;SEDE;;008327321BE046;AO06 0010 0309 0255 1530 0410 7;1;5;19 000,00
9;BE_2025_SET_1148;Guilherme;MEDI;STR9;SEDE;;007681247BE040;AO06 0006 0000 6633 6437 3018 8;1;5;19 000,00
10;BE_2025_SET_1149;Ferreira;BEM;STR10;SEDE;;007681247BE041;AO06 0006 0000 6633 6437 3018 9;1;5;19 000,00
11;BE_2025_SET_1150;Monica;MEDI;STR11;SEDE;;007681247BE042;AO06 0006 0000 6633 6437 3018 10;1;5;19 000,00
12;BE_2025_SET_1149;Safria;BEM;STR12;SEDE;;008327321BE046;AO06 0010 0309 0255 1530 0410 7;1;5;19 000,00
13;BE_2025_SET_1148;Andre ;MEDI;STR13;SEDE;;007681247BE040;AO06 0006 0000 6633 6437 3018 8;1;5;19 000,00
14;BE_2025_SET_1149;Gomes;BEM;STR14;SEDE;;007681247BE041;AO06 0006 0000 6633 6437 3018 9;3 800,00;5;19 000,00
15;BE_2025_SET_1150;ALBER;MEDI;STR15;SEDE;;007681247BE042;AO06 0006 0000 6633 6437 3018 10;3 800,00;5;19 000,00
16;BE_2025_SET_1149;Gomes;BEM;STR16;SEDE;;008327321BE046;AO06 0010 0309 0255 1530 0410 7;3 800,00;5;19 000,00
